words,frequency
good,28920
food,25225
place,18708
like,17154
service,16284
would,15651
get,14096
great,13286
really,13188
one,13114
time,11762
bar,11271
notaddthe,11049
us,10597
ordered,10554
go,10126
nice,9994
got,9610
no,9516
pretty,9369
came,8979
back,8956
vegas,8866
drinks,8749
also,8488
restaurant,7929
notaddto,7649
could,7600
little,7539
night,7476
burger,7063
well,6944
menu,6804
even,6783
better,6771
people,6710
much,6535
come,6412
table,6399
order,5991
drink,5911
ok,5876
chicken,5869
went,5790
try,5629
think,5620
first,5573
notadda,5404
bit,5284
though,5139
fries,5121
room,5103
stars,4979
server,4962
two,4958
way,4900
cheese,4684
nothing,4660
made,4637
notaddit,4605
around,4566
still,4526
strip,4523
experience,4448
steak,4429
small,4421
overall,4367
definitely,4359
know,4357
dinner,4304
want,4301
sauce,4291
beer,4262
side,4214
said,4199
notaddof,4160
right,4138
bad,4122
notadd,4113
meal,4109
since,4058
say,4048
music,4045
however,4020
best,4018
took,4015
give,3991
going,3970
wait,3968
price,3933
minutes,3920
salad,3885
sure,3863
notaddi,3845
another,3836
hour,3816
see,3794
make,3756
probably,3742
decent,3721
staff,3702
club,3645
next,3634
eat,3607
friendly,3586
hotel,3585
check,3573
area,3573
something,3568
notaddand,3555
happy,3530
lot,3478
maybe,3465
asked,3431
love,3360
wanted,3294
delicious,3292
notaddfor,3284
thing,3282
cool,3267
take,3194
flavor,3189
always,3170
free,3168
friends,3166
fun,3155
taste,3117
day,3105
long,3077
big,3051
okay,3041
times,3039
friend,3014
many,2994
atmosphere,2976
special,2951
prices,2889
dish,2888
notaddin,2888
waiter,2872
worth,2838
inside,2825
waitress,2823
different,2804
everything,2801
last,2786
thought,2773
amazing,2765
party,2749
enough,2694
tables,2690
location,2679
seemed,2675
looking,2658
new,2588
actually,2588
ca,2574
notaddwas,2568
quite,2566
tried,2556
sweet,2556
tasty,2543
top,2533
super,2531
kind,2528
notaddthat,2515
bread,2505
lunch,2495
feel,2483
high,2476
casino,2476
average,2469
fried,2456
told,2436
floor,2425
outside,2409
decided,2395
served,2369
away,2369
meat,2353
hot,2336
shrimp,2325
view,2320
wine,2314
large,2312
seated,2305
group,2305
half,2302
pool,2301
cooked,2300
star,2286
left,2272
water,2265
tasted,2265
find,2259
hard,2240
things,2237
three,2229
dance,2227
chips,2217
bartender,2189
else,2178
let,2152
busy,2147
pm,2139
getting,2138
