biwords,frequency
and the,38359
of the,38224
it was,37688
this place,30965
it s,26997
the best,25207
and i,24563
the food,23642
in the,23370
on the,22870
if you,20367
to the,18793
in vega,16842
i ve,16669
at the,16509
a great,16488
had the,16284
with a,16189
i had,16001
for a,15914
for the,15775
i was,15748
we were,15720
is a,15462
this is,14992
we had,14526
one of,14338
i have,14228
i m,14217
had a,14153
and it,14130
with the,13835
was a,13570
the servic,11807
is the,11411
i love,11386
and a,10811
servic was,10667
food was,10645
from the,10598
las vega,10142
it is,10133
have a,10070
place is,9862
friend and,9821
you can,9611
was veri,9488
order the,9469
in a,9424
the bar,9419
i would,9232
they have,9178
was the,9171
the strip,9094
go to,9006
as well,8858
was great,8821
place to,8816
to be,8815
food and,8784
food is,8683
my favorit,8666
a littl,8163
love the,8147
be back,8076
all the,8016
and they,7907
on a,7901
want to,7871
to go,7820
and we,7776
was so,7654
the menu,7636
to get,7490
but i,7466
you re,7465
will be,7416
the staff,7390
was amaz,7368
come back,7362
they were,7360
our server,7175
i will,6970
high recommend,6932
a few,6920
time i,6755
to tri,6616
which was,6491
s a,6405
you are,6346
ever had,6261
a good,6212
that i,6202
but the,6177
i am,6156
but it,6124
of my,6083
the restaur,6079
the place,6069
love this,6047
lot of,6045
my friend,6011
have to,5853
will definit,5837
i do,5828
happi hour,5828
we order,5693
out of,5524
this was,5458
tri the,5379
i order,5378
great servic,5363
i did,5305
my husband,5264
servic and,5225
servic is,5223
great food,5172
by the,5078
so i,5060
a lot,5054
was delici,5048
when i,5039
is great,5020
ve ever,5010
i could,4916
the bartend,4908
they are,4904
a nice,4885
in las,4863
a bit,4859
got the,4858
there is,4814
we got,4809
which is,4806
the drink,4806
to vega,4781
we will,4725
first time,4701
is amaz,4672
have been,4626
come here,4614
a must,4564
veri good,4500
here for,4476
to eat,4469
there was,4462
ve been,4423
so good,4389
to have,4376
of a,4348
drink and,4343
you have,4342
that was,4273
thank you,4269
definit be,4258
i think,4240
and my,4240
and was,4219
that s,4201
go back,4185
love it,4182
all of,4168
i can,4144
off the,4132
i got,4061
in town,4047
of us,4042
next time,4038
in my,4030
for my,4028
to make,4012
get a,3960
decid to,3956
this restaur,3944
worth it,3925
great place,3872
the atmospher,3855
when we,3855
he was,3850
is veri,3835
everyth was,3829
had to,3819
i ca,3819
the price,3814
so we,3805
we did,3797
recommend this,3788
look for,3779
nice and,3777
you want,3773
and you,3749
i went,3729
the first,3714
the most,3679
make sure,3676
to a,3674
great and,3673
back to,3660
realli good,3658
to come,3648
ve had,3638
is alway,3621
time and,3607
was awesom,3591
get the,3550
my wife,3545
NOT_wait NOT_to,3545
some of,3544
ask for,3542
there are,3526
and had,3505
a veri,3503
you get,3501
that the,3488
the chicken,3480
everi time,3475
i ll,3462
we went,3455
came here,3449
time we,3447
delici and,3441
about the,3440
so much,3435
was perfect,3411
there s,3411
like a,3408
you will,3381
when you,3369
was excel,3358
good and,3353
as a,3335
be a,3329
with my,3326
for me,3313
the onli,3311
ca NOT_wait,3308
enjoy the,3249
been to,3239
that we,3235
the steak,3221
to see,3218
she was,3216
have ever,3211
and servic,3209
staff is,3207
the other,3202
has a,3194
is so,3190
of our,3175
come to,3145
was realli,3144
order a,3114
vega and,3113
a coupl,3102
like the,3091
here and,3077
was good,3072
and veri,3066
worth the,3061
the tabl,3060
and he,3055
veri friend,3012
custom servic,3012
i like,3007
of this,2997
such a,2995
and great,2988
that is,2985
an amaz,2925
place was,2924
staff was,2919
and have,2898
as the,2889
amaz and,2886
abl to,2884
we have,2884
to this,2874
you do,2866
vega i,2865
bar and,2864
our waiter,2857
it a,2853
for our,2850
drink are,2849
and friend,2839
at a,2837
to say,2825
they had,2812
care of,2803
veri nice,2802
i d,2795
place for,2791
i high,2770
is my,2768
the server,2756
server was,2747
we are,2739
amaz the,2717
would be,2715
to our,2693
attent and,2685
i want,2683
and drink,2679
the wait,2675
is awesom,2672
for dinner,2671
restaur in,2668
that they,2657
is one,2636
the way,2630
the same,2624
of cours,2617
that it,2616
if i,2608
on top,2604
the night,2602
we also,2594
kind of,2589
good i,2583
was just,2582
view of,2558
were veri,2546
food i,2529
i realli,2522
die for,2519
it the,2517
do note,2515
to die,2514
NOT_on NOT_the,2504
the manag,2504
the pool,2498
went to,2497
the room,2497
got a,2494
side of,2484
was also,2478
you ll,2472
and delici,2469
the time,2458
tri to,2450
to find,2443
end up,2430
was our,2430
great time,2429
recommend the,2421
i came,2416
the burger,2414
of their,2412
on my,2407
my boyfriend,2403
good the,2398
and this,2398
had in,2389
the chef,2388
fresh and,2387
ll be,2387
that you,2386
on point,2383
place i,2383
NOT_of NOT_the,2372
what a,2371
what i,2360
burger and,2360
way to,2357
need to,2355
came out,2338
at least,2332
are a,2321
top notch,2320
the music,2319
flavor and,2317
make it,2316
was super,2311
over the,2311
they do,2305
best i,2302
the perfect,2284
would definit,2284
walk in,2282
to order,2279
more than,2276
they also,2276
a place,2275
the whole,2271
the next,2252
the decor,2249
as i,2247
top of,2246
to take,2245
are the,2243
i also,2239
there were,2238
we came,2237
