biwords,frequency
it was,35300
of the,30170
and the,26201
it s,23346
on the,20881
in the,20005
and i,16290
this place,15857
if you,15738
was a,15175
i was,14805
the food,14681
for the,14498
to the,14419
for a,14019
at the,13600
with a,12822
is a,12786
we were,12514
i had,12378
had a,11792
with the,10915
a littl,10894
i m,10740
a great,10249
and it,10236
had the,10082
i would,10062
we had,9629
but i,9189
and a,8948
i ve,8816
this is,8784
servic was,8522
to be,8503
was veri,8440
in vega,8367
have a,8235
one of,8171
the bar,8035
it is,8032
order the,7812
a bit,7722
the best,7707
a good,7542
from the,7500
you can,7479
the strip,7460
but the,7415
on a,7402
to get,7376
the servic,7359
but it,7329
i have,7314
in a,7224
they have,7184
food was,7086
they were,6944
place to,6535
was good,6422
i love,6407
a few,6366
you re,6359
s a,6334
which was,6256
i did,6238
was the,6200
want to,6123
was great,6042
lot of,6019
is the,5995
veri good,5754
to go,5722
as well,5684
so i,5660
the menu,5561
and they,5561
friend and,5550
i do,5466
the place,5456
place is,5452
go to,5394
a nice,5381
the restaur,5216
to tri,5164
and we,5162
love the,5110
all the,5081
i order,5006
happi hour,4944
there was,4930
i think,4925
a lot,4915
that i,4857
my friend,4842
have to,4770
food is,4631
las vega,4557
time i,4472
the onli,4431
which is,4397
we order,4376
come back,4259
you are,4248
we got,4180
that s,4178
i like,4161
of a,4154
food and,4094
the price,4082
good and,4051
that was,4044
when i,4043
this was,4025
had to,4022
got the,4002
realli good,3964
i am,3962
that the,3879
like the,3862
by the,3845
get a,3792
there is,3792
i d,3739
out of,3727
i will,3724
i got,3698
the drink,3660
so we,3648
was realli,3635
my favorit,3625
was pretti,3613
pretti good,3586
have been,3564
tri the,3542
here for,3506
we did,3478
there are,3477
go back,3449
good but,3449
they are,3435
our server,3428
i could,3405
the other,3403
be a,3402
of my,3400
to have,3350
be back,3307
the bartend,3292
was so,3287
the staff,3239
decid to,3238
was delici,3215
drink and,3198
there s,3174
will be,3152
like a,3142
nice and,3108
when we,3069
i went,3045
to eat,3038
kind of,3030
you have,3013
you get,3012
next time,3008
and was,3007
a veri,3000
the chicken,2986
came here,2981
for me,2972
a coupl,2956
to a,2942
enjoy the,2937
my husband,2935
servic is,2932
i ll,2920
the room,2915
order a,2912
would be,2883
off the,2882
the tabl,2864
some of,2851
for my,2845
ve been,2840
i realli,2828
good the,2825
the burger,2800
you want,2770
they had,2758
is veri,2730
when you,2728
would have,2723
great place,2714
the first,2711
